file_name,openness,conscientiousness,extraversion,agreeableness,neuroticism,confidence_score,professionalism_score,communication_score,leadership_potential
--Ymqszjv54.001.mp4,0.7444444444444444,0.6504854368932039,0.5514018691588786,0.5274725274725275,0.5,0.5,0.5,0.5,0.5
--Ymqszjv54.003.mp4,0.4666666666666667,0.47572815533980584,0.39252336448598135,0.5164835164835165,0.42708333333333337,0.5,0.5,0.5,0.5
--Ymqszjv54.004.mp4,0.5444444444444444,0.36893203883495146,0.3177570093457944,0.5494505494505494,0.32291666666666663,0.5,0.5,0.5,0.5
--Ymqszjv54.005.mp4,0.34444444444444444,0.3203883495145631,0.29906542056074764,0.3736263736263736,0.29166666666666663,0.5,0.5,0.5,0.5
-2qsCrkXdWs.001.mp4,0.611111111111111,0.5728155339805825,0.47663551401869164,0.5934065934065933,0.6041666666666666,0.5,0.5,0.5,0.5
-55DRRMTppE.000.mp4,0.6,0.7184466019417477,0.5794392523364487,0.6483516483516484,0.65625,0.5,0.5,0.5,0.5
-55DRRMTppE.005.mp4,0.7333333333333333,0.7378640776699029,0.7383177570093458,0.7692307692307692,0.6875,0.5,0.5,0.5,0.5
-5riMLK-PgU.001.mp4,0.5555555555555556,0.30097087378640774,0.5046728971962617,0.5164835164835165,0.3333333333333333,0.5,0.5,0.5,0.5
-6otZ7M-Mro.000.mp4,0.7,0.7281553398058251,0.5514018691588786,0.6153846153846153,0.59375,0.5,0.5,0.5,0.5
-6otZ7M-Mro.001.mp4,0.7,0.6990291262135921,0.4672897196261683,0.7692307692307692,0.5729166666666666,0.5,0.5,0.5,0.5
-8asrRvfJWA.003.mp4,0.4777777777777778,0.4466019417475728,0.4485981308411215,0.4725274725274725,0.3645833333333333,0.5,0.5,0.5,0.5
-8asrRvfJWA.004.mp4,0.8666666666666667,0.7864077669902914,0.6728971962616823,0.6153846153846153,0.6458333333333333,0.5,0.5,0.5,0.5
-9BZ8A9U7TE.000.mp4,0.4777777777777778,0.3495145631067961,0.38317757009345793,0.4395604395604395,0.3125,0.5,0.5,0.5,0.5
-9BZ8A9U7TE.003.mp4,0.4666666666666667,0.27184466019417475,0.4299065420560748,0.5274725274725275,0.45833333333333337,0.5,0.5,0.5,0.5
-9BZ8A9U7TE.004.mp4,0.611111111111111,0.4174757281553398,0.5046728971962617,0.6043956043956044,0.59375,0.5,0.5,0.5,0.5
-agCXYgb7pI.004.mp4,0.4444444444444445,0.6407766990291262,0.4392523364485981,0.6043956043956044,0.5416666666666666,0.5,0.5,0.5,0.5
-AmMDnVl4s8.003.mp4,0.7888888888888888,0.7572815533980582,0.7663551401869159,0.824175824175824,0.84375,0.5,0.5,0.5,0.5
-aU2FN5pkWA.001.mp4,0.7333333333333333,0.6407766990291262,0.7850467289719627,0.7692307692307692,0.6979166666666666,0.5,0.5,0.5,0.5
-aU2FN5pkWA.004.mp4,0.5777777777777777,0.6310679611650486,0.5140186915887851,0.5934065934065933,0.4895833333333333,0.5,0.5,0.5,0.5
-awAu11kBZ0.000.mp4,0.5666666666666667,0.4174757281553398,0.4485981308411215,0.4615384615384615,0.4791666666666667,0.5,0.5,0.5,0.5
-c2HtptBFxY.002.mp4,0.43333333333333335,0.3495145631067961,0.6168224299065421,0.5274725274725275,0.5833333333333333,0.5,0.5,0.5,0.5
-C5M9g4Quzc.002.mp4,0.4888888888888889,0.47572815533980584,0.588785046728972,0.6153846153846153,0.5104166666666666,0.5,0.5,0.5,0.5
-c_tyGzShwk.004.mp4,0.7555555555555554,0.5533980582524272,0.7757009345794394,0.7032967032967032,0.7500000000000001,0.5,0.5,0.5,0.5
-DOqN0d8KHw.002.mp4,0.611111111111111,0.4368932038834952,0.4112149532710281,0.5714285714285714,0.4479166666666667,0.5,0.5,0.5,0.5
-DOqN0d8KHw.003.mp4,0.5333333333333333,0.4951456310679611,0.5514018691588786,0.6483516483516484,0.4479166666666667,0.5,0.5,0.5,0.5
