video_id,video_path
--Ymqszjv54.001,train/--Ymqszjv54.001.mp4
--Ymqszjv54.003,train/--Ymqszjv54.003.mp4
--Ymqszjv54.004,train/--Ymqszjv54.004.mp4
--Ymqszjv54.005,train/--Ymqszjv54.005.mp4
-2qsCrkXdWs.001,train/-2qsCrkXdWs.001.mp4
-55DRRMTppE.000,train/-55DRRMTppE.000.mp4
-55DRRMTppE.005,train/-55DRRMTppE.005.mp4
-5riMLK-PgU.001,train/-5riMLK-PgU.001.mp4
-6otZ7M-Mro.000,train/-6otZ7M-Mro.000.mp4
-6otZ7M-Mro.001,train/-6otZ7M-Mro.001.mp4
-8asrRvfJWA.003,train/-8asrRvfJWA.003.mp4
-8asrRvfJWA.004,train/-8asrRvfJWA.004.mp4
-9BZ8A9U7TE.000,train/-9BZ8A9U7TE.000.mp4
-9BZ8A9U7TE.003,train/-9BZ8A9U7TE.003.mp4
-9BZ8A9U7TE.004,train/-9BZ8A9U7TE.004.mp4
-agCXYgb7pI.004,train/-agCXYgb7pI.004.mp4
-AmMDnVl4s8.003,train/-AmMDnVl4s8.003.mp4
-aU2FN5pkWA.001,train/-aU2FN5pkWA.001.mp4
-aU2FN5pkWA.004,train/-aU2FN5pkWA.004.mp4
-awAu11kBZ0.000,train/-awAu11kBZ0.000.mp4
-c2HtptBFxY.002,train/-c2HtptBFxY.002.mp4
-C5M9g4Quzc.002,train/-C5M9g4Quzc.002.mp4
-c_tyGzShwk.004,train/-c_tyGzShwk.004.mp4
-DOqN0d8KHw.002,train/-DOqN0d8KHw.002.mp4
-DOqN0d8KHw.003,train/-DOqN0d8KHw.003.mp4
-fqiCqZtgYs.001,train/-fqiCqZtgYs.001.mp4
-fqiCqZtgYs.002,train/-fqiCqZtgYs.002.mp4
-fqiCqZtgYs.003,train/-fqiCqZtgYs.003.mp4
-fXqnCljdm0.000,train/-fXqnCljdm0.000.mp4
-fXqnCljdm0.003,train/-fXqnCljdm0.003.mp4
-Gl98Jn45Fs.000,train/-Gl98Jn45Fs.000.mp4
-Gl98Jn45Fs.001,train/-Gl98Jn45Fs.001.mp4
-Gl98Jn45Fs.003,train/-Gl98Jn45Fs.003.mp4
-IK--4uz5ZY.000,train/-IK--4uz5ZY.000.mp4
-IK--4uz5ZY.002,train/-IK--4uz5ZY.002.mp4
-IK--4uz5ZY.003,train/-IK--4uz5ZY.003.mp4
-IK--4uz5ZY.004,train/-IK--4uz5ZY.004.mp4
-mt-IKgGhuY.004,train/-mt-IKgGhuY.004.mp4
-N6QKrbnaDs.005,train/-N6QKrbnaDs.005.mp4
-NwfYYf5xLo.005,train/-NwfYYf5xLo.005.mp4
-Osv5l1vrNU.001,train/-Osv5l1vrNU.001.mp4
-Osv5l1vrNU.004,train/-Osv5l1vrNU.004.mp4
-OXMbG7ZwRk.000,train/-OXMbG7ZwRk.000.mp4
-OXMbG7ZwRk.003,train/-OXMbG7ZwRk.003.mp4
-OXMbG7ZwRk.004,train/-OXMbG7ZwRk.004.mp4
-OXMbG7ZwRk.005,train/-OXMbG7ZwRk.005.mp4
-R2SZu3SYgM.000,train/-R2SZu3SYgM.000.mp4
-R2SZu3SYgM.004,train/-R2SZu3SYgM.004.mp4
-RhPxhfpg4U.001,train/-RhPxhfpg4U.001.mp4
-RhPxhfpg4U.003,train/-RhPxhfpg4U.003.mp4
-RhPxhfpg4U.005,train/-RhPxhfpg4U.005.mp4
-utrsarZeIY.001,train/-utrsarZeIY.001.mp4
-utrsarZeIY.004,train/-utrsarZeIY.004.mp4
-VTqcHNgH7M.002,train/-VTqcHNgH7M.002.mp4
-VTqcHNgH7M.003,train/-VTqcHNgH7M.003.mp4
-VTqcHNgH7M.004,train/-VTqcHNgH7M.004.mp4
-Wqk9eex6bQ.002,train/-Wqk9eex6bQ.002.mp4
-Wqk9eex6bQ.003,train/-Wqk9eex6bQ.003.mp4
-Wqk9eex6bQ.004,train/-Wqk9eex6bQ.004.mp4
-Wqk9eex6bQ.005,train/-Wqk9eex6bQ.005.mp4
-zNyDPzId4E.001,train/-zNyDPzId4E.001.mp4
-zNyDPzId4E.003,train/-zNyDPzId4E.003.mp4
01qN-BqJXRM.005,train/01qN-BqJXRM.005.mp4
04oq2yrBwMg.001,train/04oq2yrBwMg.001.mp4
04oq2yrBwMg.004,train/04oq2yrBwMg.004.mp4
05l5bteT_qA.000,train/05l5bteT_qA.000.mp4
05l5bteT_qA.001,train/05l5bteT_qA.001.mp4
0_xOGmydDN0.001,train/0_xOGmydDN0.001.mp4
0_xOGmydDN0.002,train/0_xOGmydDN0.002.mp4
0_xOGmydDN0.003,train/0_xOGmydDN0.003.mp4
0_xOGmydDN0.004,train/0_xOGmydDN0.004.mp4
0axZSeaUbfs.002,train/0axZSeaUbfs.002.mp4
0axZSeaUbfs.004,train/0axZSeaUbfs.004.mp4
0axZSeaUbfs.005,train/0axZSeaUbfs.005.mp4
0C6i34q2-f8.000,train/0C6i34q2-f8.000.mp4
0C6i34q2-f8.001,train/0C6i34q2-f8.001.mp4
0C6i34q2-f8.003,train/0C6i34q2-f8.003.mp4
0D7W2pR4RpQ.004,train/0D7W2pR4RpQ.004.mp4
0dIqLMMn4jY.000,train/0dIqLMMn4jY.000.mp4
0fMw9o1v2tY.001,train/0fMw9o1v2tY.001.mp4
0fMw9o1v2tY.002,train/0fMw9o1v2tY.002.mp4
0fMw9o1v2tY.003,train/0fMw9o1v2tY.003.mp4
0FVu7VKIg2s.000,train/0FVu7VKIg2s.000.mp4
0G9vplL8ae8.001,train/0G9vplL8ae8.001.mp4
0G9vplL8ae8.003,train/0G9vplL8ae8.003.mp4
0gv5Z0qt2jc.000,train/0gv5Z0qt2jc.000.mp4
0gv5Z0qt2jc.001,train/0gv5Z0qt2jc.001.mp4
0gv5Z0qt2jc.002,train/0gv5Z0qt2jc.002.mp4
0gv5Z0qt2jc.003,train/0gv5Z0qt2jc.003.mp4
0gv5Z0qt2jc.004,train/0gv5Z0qt2jc.004.mp4
0gv5Z0qt2jc.005,train/0gv5Z0qt2jc.005.mp4
0hWbtuRVUgM.001,train/0hWbtuRVUgM.001.mp4
0hWbtuRVUgM.005,train/0hWbtuRVUgM.005.mp4
0iQIfGnKflc.001,train/0iQIfGnKflc.001.mp4
0iQIfGnKflc.002,train/0iQIfGnKflc.002.mp4
0iXXdsO95O0.000,train/0iXXdsO95O0.000.mp4
0kg6pmbSN6A.000,train/0kg6pmbSN6A.000.mp4
0kg6pmbSN6A.001,train/0kg6pmbSN6A.001.mp4
0kg6pmbSN6A.002,train/0kg6pmbSN6A.002.mp4
0kg6pmbSN6A.005,train/0kg6pmbSN6A.005.mp4
0LqfKzp11kg.000,train/0LqfKzp11kg.000.mp4
0MB91ku0eEw.003,train/0MB91ku0eEw.003.mp4
0mym1CooiTE.000,train/0mym1CooiTE.000.mp4
0mym1CooiTE.001,train/0mym1CooiTE.001.mp4
0mym1CooiTE.003,train/0mym1CooiTE.003.mp4
0mym1CooiTE.004,train/0mym1CooiTE.004.mp4
0n2vWTs6XwA.001,train/0n2vWTs6XwA.001.mp4
0ObEtA6Q8vU.002,train/0ObEtA6Q8vU.002.mp4
0ObEtA6Q8vU.003,train/0ObEtA6Q8vU.003.mp4
0ObEtA6Q8vU.005,train/0ObEtA6Q8vU.005.mp4
0QTR0WiJSNk.001,train/0QTR0WiJSNk.001.mp4
0RLFM1ehSFM.000,train/0RLFM1ehSFM.000.mp4
0tse0Fsy_rg.001,train/0tse0Fsy_rg.001.mp4
0tse0Fsy_rg.002,train/0tse0Fsy_rg.002.mp4
0tse0Fsy_rg.004,train/0tse0Fsy_rg.004.mp4
0u56Q_QmxIM.002,train/0u56Q_QmxIM.002.mp4
0u56Q_QmxIM.004,train/0u56Q_QmxIM.004.mp4
0uCqd5hZcyI.000,train/0uCqd5hZcyI.000.mp4
0uCqd5hZcyI.005,train/0uCqd5hZcyI.005.mp4
0VnZngec8sc.001,train/0VnZngec8sc.001.mp4
0VnZngec8sc.003,train/0VnZngec8sc.003.mp4
0VnZngec8sc.004,train/0VnZngec8sc.004.mp4
0Wr69VD_oXI.004,train/0Wr69VD_oXI.004.mp4
0zJcYnsh55g.003,train/0zJcYnsh55g.003.mp4
0ZK5jQAvhFo.004,train/0ZK5jQAvhFo.004.mp4
1-GgVRmAEoo.002,train/1-GgVRmAEoo.002.mp4
1-GgVRmAEoo.003,train/1-GgVRmAEoo.003.mp4
1-GgVRmAEoo.004,train/1-GgVRmAEoo.004.mp4
117jrwvl2Nc.000,train/117jrwvl2Nc.000.mp4
117jrwvl2Nc.004,train/117jrwvl2Nc.004.mp4
12Ezy1y1cWY.001,train/12Ezy1y1cWY.001.mp4
12Ezy1y1cWY.005,train/12Ezy1y1cWY.005.mp4
12Hbl_oZF9c.001,train/12Hbl_oZF9c.001.mp4
12Hbl_oZF9c.003,train/12Hbl_oZF9c.003.mp4
12lqQE6oPNE.001,train/12lqQE6oPNE.001.mp4
13kjwEtSyXc.000,train/13kjwEtSyXc.000.mp4
13kjwEtSyXc.002,train/13kjwEtSyXc.002.mp4
13kjwEtSyXc.004,train/13kjwEtSyXc.004.mp4
13KtmgntgQw.002,train/13KtmgntgQw.002.mp4
13XlKeC_p3U.000,train/13XlKeC_p3U.000.mp4
13XlKeC_p3U.001,train/13XlKeC_p3U.001.mp4
15yOT2ZolPE.002,train/15yOT2ZolPE.002.mp4
176vWywoq9E.000,train/176vWywoq9E.000.mp4
176vWywoq9E.001,train/176vWywoq9E.001.mp4
176vWywoq9E.002,train/176vWywoq9E.002.mp4
176vWywoq9E.004,train/176vWywoq9E.004.mp4
184MlJCcboQ.000,train/184MlJCcboQ.000.mp4
186c7kCyCHQ.005,train/186c7kCyCHQ.005.mp4
19cplBTXyoY.002,train/19cplBTXyoY.002.mp4
19pTUX8KfYM.000,train/19pTUX8KfYM.000.mp4
1AMp8Y_0UGc.000,train/1AMp8Y_0UGc.000.mp4
1AMp8Y_0UGc.002,train/1AMp8Y_0UGc.002.mp4
1AMp8Y_0UGc.004,train/1AMp8Y_0UGc.004.mp4
1cqwKxx6GF8.001,train/1cqwKxx6GF8.001.mp4
1cqwKxx6GF8.004,train/1cqwKxx6GF8.004.mp4
1cqwKxx6GF8.005,train/1cqwKxx6GF8.005.mp4
1CYzbX8AaP8.001,train/1CYzbX8AaP8.001.mp4
1CYzbX8AaP8.003,train/1CYzbX8AaP8.003.mp4
1DCnIad1Y0w.002,train/1DCnIad1Y0w.002.mp4
1dOaM7zWPo8.000,train/1dOaM7zWPo8.000.mp4
1eOvtoZCie8.000,train/1eOvtoZCie8.000.mp4
1eOvtoZCie8.002,train/1eOvtoZCie8.002.mp4
1eOvtoZCie8.004,train/1eOvtoZCie8.004.mp4
1eOvtoZCie8.005,train/1eOvtoZCie8.005.mp4
1fsFL_qNYlQ.001,train/1fsFL_qNYlQ.001.mp4
1fsFL_qNYlQ.005,train/1fsFL_qNYlQ.005.mp4
1Gn4GX8miWQ.000,train/1Gn4GX8miWQ.000.mp4
1Gn4GX8miWQ.001,train/1Gn4GX8miWQ.001.mp4
1Gn4GX8miWQ.002,train/1Gn4GX8miWQ.002.mp4
1Gn4GX8miWQ.003,train/1Gn4GX8miWQ.003.mp4
1Gn4GX8miWQ.004,train/1Gn4GX8miWQ.004.mp4
1Gn4GX8miWQ.005,train/1Gn4GX8miWQ.005.mp4
1hpZ2ecWqtI.002,train/1hpZ2ecWqtI.002.mp4
1hpZ2ecWqtI.003,train/1hpZ2ecWqtI.003.mp4
1hpZ2ecWqtI.005,train/1hpZ2ecWqtI.005.mp4
1izSTcQI7H4.000,train/1izSTcQI7H4.000.mp4
1izSTcQI7H4.004,train/1izSTcQI7H4.004.mp4
1jC4vsQsjwM.002,train/1jC4vsQsjwM.002.mp4
1jC4vsQsjwM.004,train/1jC4vsQsjwM.004.mp4
1jC4vsQsjwM.005,train/1jC4vsQsjwM.005.mp4
1Kb5d-w3YJ8.002,train/1Kb5d-w3YJ8.002.mp4
1Lv72Si4GnY.001,train/1Lv72Si4GnY.001.mp4
1m67onLoRwY.000,train/1m67onLoRwY.000.mp4
1m67onLoRwY.003,train/1m67onLoRwY.003.mp4
1mdMhaq5p4w.001,train/1mdMhaq5p4w.001.mp4
