video_id,video_path
pljK0DEusA0.003,train/pljK0DEusA0.003.mp4
WyLqK6wzYLU.000,train/WyLqK6wzYLU.000.mp4
VIhStXxpAr0.003,train/VIhStXxpAr0.003.mp4
yj2Y1Y26rd4.001,train/yj2Y1Y26rd4.001.mp4
3Vr5-zedeWk.000,train/3Vr5-zedeWk.000.mp4
s0pgZM5G6ds.003,train/s0pgZM5G6ds.003.mp4
xmD4FKMq2rk.001,train/xmD4FKMq2rk.001.mp4
merppcmY6y0.000,train/merppcmY6y0.000.mp4
Ui1ajQU5Ib8.005,train/Ui1ajQU5Ib8.005.mp4
LGPm8ok6kVo.001,train/LGPm8ok6kVo.001.mp4
FcR9VhCxBb0.004,train/FcR9VhCxBb0.004.mp4
UrOamWOcOwQ.004,train/UrOamWOcOwQ.004.mp4
cQRFb-xa4Vc.005,train/cQRFb-xa4Vc.005.mp4
oxw3nT9LSsg.000,train/oxw3nT9LSsg.000.mp4
nKLhatlbqEw.005,train/nKLhatlbqEw.005.mp4
X5aKCrWf6a4.003,train/X5aKCrWf6a4.003.mp4
tw6lY2ptkvo.002,train/tw6lY2ptkvo.002.mp4
Ng2E0E5tiZQ.005,train/Ng2E0E5tiZQ.005.mp4
V1TjmLtgNm0.005,train/V1TjmLtgNm0.005.mp4
Os7L5C-i9Fw.003,train/Os7L5C-i9Fw.003.mp4
bkzgccBFztM.001,train/bkzgccBFztM.001.mp4
fEZrAGQoh_g.001,train/fEZrAGQoh_g.001.mp4
vqF65-bFHKM.004,train/vqF65-bFHKM.004.mp4
1eOvtoZCie8.004,train/1eOvtoZCie8.004.mp4
wTo1uZns2X8.005,train/wTo1uZns2X8.005.mp4
izqyworQEEM.001,train/izqyworQEEM.001.mp4
bzaOB8BoWPU.000,train/bzaOB8BoWPU.000.mp4
yFZ3eUD6Pqs.005,train/yFZ3eUD6Pqs.005.mp4
BmDClgdWlH4.004,train/BmDClgdWlH4.004.mp4
R_LJX7wszPY.000,train/R_LJX7wszPY.000.mp4
T4eZ81aJwJI.005,train/T4eZ81aJwJI.005.mp4
HONL8ha-1BE.000,train/HONL8ha-1BE.000.mp4
Q5h34e5xM0Q.000,train/Q5h34e5xM0Q.000.mp4
shtirfEzWFA.002,train/shtirfEzWFA.002.mp4
nOFHZ_s7Et4.001,train/nOFHZ_s7Et4.001.mp4
WuoQDp7pU24.002,train/WuoQDp7pU24.002.mp4
RsYSOFRFszk.001,train/RsYSOFRFszk.001.mp4
jQRFHBVs0dA.004,train/jQRFHBVs0dA.004.mp4
