video_id,video_path,openness,conscientiousness,extraversion,agreeableness,neuroticism
_tOtBfJlWFs.000,train/_tOtBfJlWFs.000.mp4,0.6888888888888889,0.5048543689320388,0.4299065420560748,0.4615384615384615,0.5625
ipP--IqIuWU.001,train/ipP--IqIuWU.001.mp4,0.5888888888888889,0.2815533980582524,0.4579439252336449,0.6153846153846153,0.4375
vAEqpUwBMJQ.005,train/vAEqpUwBMJQ.005.mp4,0.5111111111111111,0.6504854368932039,0.35514018691588783,0.5934065934065933,0.5
LGPm8ok6kVo.001,train/LGPm8ok6kVo.001.mp4,0.7333333333333333,0.6019417475728155,0.48598130841121495,0.6593406593406592,0.625
0G9vplL8ae8.003,train/0G9vplL8ae8.003.mp4,0.5777777777777777,0.4077669902912622,0.4018691588785047,0.5164835164835165,0.46875
PRplbrM70sg.004,train/PRplbrM70sg.004.mp4,0.4888888888888889,0.4660194174757281,0.4953271028037384,0.4615384615384615,0.4791666666666667
WyLqK6wzYLU.000,train/WyLqK6wzYLU.000.mp4,0.28888888888888886,0.35922330097087385,0.2710280373831776,0.3516483516483516,0.4479166666666667
Yj36y7ELRZE.004,train/Yj36y7ELRZE.004.mp4,0.5444444444444444,0.5242718446601942,0.3271028037383178,0.3956043956043956,0.3125
X5aKCrWf6a4.003,train/X5aKCrWf6a4.003.mp4,0.6222222222222222,0.6699029126213591,0.4205607476635514,0.5054945054945055,0.5
EvZ0esZgPK4.001,train/EvZ0esZgPK4.001.mp4,0.33333333333333337,0.6116504854368932,0.25233644859813087,0.4175824175824176,0.3333333333333333
ZRl_k6DzTeI.001,train/ZRl_k6DzTeI.001.mp4,0.7222222222222221,0.2912621359223301,0.4672897196261683,0.3846153846153846,0.5208333333333334
FcR9VhCxBb0.004,train/FcR9VhCxBb0.004.mp4,0.7999999999999999,0.6504854368932039,0.5700934579439253,0.4725274725274725,0.59375
9o10YrQykMk.003,train/9o10YrQykMk.003.mp4,0.7333333333333333,0.6990291262135921,0.6168224299065421,0.4725274725274725,0.6041666666666666
WMp0lsXbOqM.003,train/WMp0lsXbOqM.003.mp4,0.811111111111111,0.7669902912621359,0.7196261682242993,0.7252747252747254,0.7500000000000001
_ztmNiy8D3c.003,train/_ztmNiy8D3c.003.mp4,0.3111111111111111,0.35922330097087385,0.4205607476635514,0.3626373626373627,0.3854166666666667
TUaOp5eIU2c.001,train/TUaOp5eIU2c.001.mp4,0.7666666666666666,0.7864077669902914,0.48598130841121495,0.7582417582417583,0.8854166666666667
3K16KyiAZHw.004,train/3K16KyiAZHw.004.mp4,0.6555555555555556,0.5048543689320388,0.4205607476635514,0.6813186813186812,0.5520833333333334
6TkMavTyimI.001,train/6TkMavTyimI.001.mp4,0.5444444444444444,0.7184466019417477,0.4112149532710281,0.6373626373626373,0.5208333333333334
BS0wgLXqFgc.003,train/BS0wgLXqFgc.003.mp4,0.6888888888888889,0.6019417475728155,0.6542056074766356,0.6923076923076923,0.6041666666666666
jQRFHBVs0dA.004,train/jQRFHBVs0dA.004.mp4,0.6,0.47572815533980584,0.4299065420560748,0.6483516483516484,0.6666666666666667
T4eZ81aJwJI.005,train/T4eZ81aJwJI.005.mp4,0.5,0.4660194174757281,0.4018691588785047,0.5494505494505494,0.45833333333333337
